File,Sketch,Time-tree_suf,Size-tree_suf
f:09-nw:400-ml:06-0.trace,"G(->(q,?1))",57.22,4
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?u1(p)))",5.90,5
f:04-nw:050-ml:10-0.trace,F(?1),1.03,2
f:05-nw:050-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",12.89,9
f:08-nw:400-ml:06-0.trace,"?b1(F(q),?b2(p,q))",53.46,6
f:08-nw:025-ml:14-0.trace,"->(?1,U(p,q))",10.00,5
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",32.91,13
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?u1(p)))",1.48,5
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",2.81,6
f:02-nw:050-ml:06-0.trace,"->(?1,U(!(p),q))",3.70,6
f:08-nw:010-ml:10-0.trace,"->(?1,U(p,q))",2.12,5
f:07-nw:050-ml:14-0.trace,G(?1),2.06,2
f:01-nw:100-ml:14-0.trace,?u1(!(p)),10.06,3
f:07-nw:200-ml:10-0.trace,G(?1),9.81,2
f:04-nw:100-ml:06-0.trace,?u1(p),1.47,2
f:05-nw:100-ml:06-0.trace,"|(?1,F(&(p,F(q))))",8.71,7
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",88.38,13
f:05-nw:200-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",177.93,9
f:03-nw:100-ml:10-0.trace,"G(->(q,?1))",49.04,4
f:02-nw:100-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",26.52,7
f:04-nw:200-ml:14-0.trace,F(?1),25.81,2
f:01-nw:200-ml:06-0.trace,G(!(?1)),4.07,3
f:08-nw:400-ml:14-0.trace,"->(?1,U(p,q))",371.45,5
f:08-nw:025-ml:06-0.trace,"?b1(F(q),?b2(p,q))",1.73,6
f:01-nw:050-ml:10-0.trace,?u1(!(p)),1.66,3
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?u1(p)))",375.39,5
f:09-nw:025-ml:06-0.trace,"G(->(q,?1))",1.40,4
f:07-nw:050-ml:06-0.trace,?u1(p),0.67,2
f:02-nw:050-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",24.67,7
f:03-nw:050-ml:14-0.trace,"G(->(q,?1))",49.41,4
f:06-nw:050-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",3.30,10
f:03-nw:200-ml:10-0.trace,"G(->(q,?1))",103.75,4
f:05-nw:100-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",65.11,9
f:04-nw:100-ml:14-0.trace,F(?1),7.04,2
