File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.76,5,2.93,5,2.64,5,2.48,5,2.25,5
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",0.87,6,1.52,6,1.22,6,1.75,6,1.35,6
f:04-nw:400-ml:10-0.trace,?u1(p),13.79,2,13.27,2,10.61,2,49.09,2,45.46,2
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.7,9,3.18,13,2.6,13,3.10,13,2.68,13
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",3.21,6,5.52,6,4.05,6,6.28,6,4.88,6
f:02-nw:400-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",22.66,6,35.21,7,25.95,7,52.76,7,47.02,7
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",0.76,8,1.26,9,1,9,1.06,9,0.83,9
f:07-nw:400-ml:14-0.trace,?u1(p),22.22,2,21.81,2,14.03,2,103.32,2,96.60,2
f:08-nw:100-ml:10-0.trace,"?b1(F(q),?b2(p,q))",13.48,5,23.25,6,13.67,6,26.93,6,17.72,6
f:08-nw:050-ml:14-0.trace,"?b1(F(q),?b2(p,q))",13.26,5,21.72,6,10,6,24.70,6,12.81,6
f:07-nw:010-ml:10-0.trace,?u1(p),0.44,2,0.39,2,0.33,2,0.35,2,0.28,2
f:04-nw:025-ml:10-0.trace,?u1(p),0.83,2,0.87,2,0.7,2,0.87,2,0.66,2
f:07-nw:025-ml:14-0.trace,?u1(p),1.37,2,1.44,2,0.97,2,1.43,2,1.10,2
f:02-nw:025-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",1.44,6,2.27,7,1.97,7,1.76,7,1.53,7
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",49.32,6,91.89,6,65.07,6,388.13,6,375.53,6
f:01-nw:010-ml:06-0.trace,?u1(!(p)),0.22,3,0.27,3,0.25,3,0.19,3,0.17,3
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",28.6,9,50.7,13,41.91,13,61.31,13,71.49,13
f:04-nw:010-ml:14-0.trace,?u1(p),0.55,2,0.56,2,0.41,2,0.55,2,0.42,2
f:08-nw:200-ml:10-0.trace,"?b1(F(q),?b2(p,q))",27.51,5,49.17,6,27.66,6,73.90,6,57.30,6
f:07-nw:050-ml:10-0.trace,?u1(p),1.74,2,1.59,2,1.23,2,1.40,2,1.23,2
f:08-nw:010-ml:14-0.trace,"?b1(F(q),?b2(p,q))",2.44,5,4.69,6,1.85,6,4.40,6,1.91,6
f:08-nw:025-ml:10-0.trace,"?b1(F(q),?b2(p,q))",3.63,5,6.24,6,3.28,6,6.02,6,3.33,6
