File,Sketch,Time-naive,Size-naive
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.76,5
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",0.87,6
f:04-nw:400-ml:10-0.trace,?u1(p),13.79,2
f:05-nw:100-ml:10-0.trace,"|(?1,F(&(p,F(q))))",606.68,8
f:02-nw:200-ml:14-0.trace,"->(?1,U(!(p),q))",900,
f:07-nw:200-ml:06-0.trace,G(?1),900,
f:01-nw:200-ml:10-0.trace,G(!(?1)),900,
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.7,9
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",3.21,6
f:03-nw:100-ml:06-0.trace,"G(->(q,?1))",363.32,7
f:02-nw:400-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",22.66,6
f:06-nw:100-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",0.76,8
f:07-nw:400-ml:14-0.trace,?u1(p),22.22,2
f:04-nw:050-ml:06-0.trace,F(?1),900,
f:09-nw:400-ml:10-0.trace,"G(->(q,?1))",900,
f:08-nw:100-ml:10-0.trace,"?b1(F(q),?b2(p,q))",13.48,5
f:01-nw:050-ml:14-0.trace,G(!(?1)),900,
f:02-nw:050-ml:10-0.trace,"->(?1,U(!(p),q))",900,
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",900,
f:08-nw:050-ml:14-0.trace,"?b1(F(q),?b2(p,q))",13.26,5
f:01-nw:100-ml:10-0.trace,G(!(?1)),900,
f:07-nw:010-ml:10-0.trace,?u1(p),0.44,2
f:03-nw:200-ml:06-0.trace,"G(->(q,?1))",900,
f:04-nw:025-ml:10-0.trace,?u1(p),0.83,2
f:06-nw:200-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:07-nw:025-ml:14-0.trace,?u1(p),1.37,2
f:02-nw:025-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",1.44,6
f:05-nw:200-ml:10-0.trace,"|(?1,F(&(p,F(q))))",900,
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",49.32,6
f:01-nw:010-ml:06-0.trace,?u1(!(p)),0.22,3
f:02-nw:100-ml:14-0.trace,"->(?1,U(!(p),q))",900,
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",28.6,9
f:07-nw:100-ml:06-0.trace,G(?1),900,
f:04-nw:010-ml:14-0.trace,?u1(p),0.55,2
f:09-nw:025-ml:10-0.trace,"G(->(q,?1))",900,
f:05-nw:050-ml:14-0.trace,"|(?1,F(&(p,F(q))))",365.19,7
f:06-nw:050-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
