File name,Algo type,Original Formula,Sketch,Total time,Completed sketch,Final size,Verified
f:09-nw:400-ml:06-0.trace,tree-suf,"G(->(q,G(p)))","G(->(q,?1))",57.22,"G(->(q,G(p)))",4,TRUE
f:09-nw:025-ml:14-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",5.90,"G(->(q,G(p)))",5,TRUE
f:04-nw:050-ml:10-0.trace,tree-suf,F(p),F(?1),1.03,F(p),2,TRUE
f:05-nw:050-ml:10-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",12.89,"U(G(!(p)),F(&(p,F(q))))",9,TRUE
f:08-nw:400-ml:06-0.trace,tree-suf,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",53.46,"->(F(q),U(p,q))",6,TRUE
f:08-nw:025-ml:14-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",10.00,"->(F(q),U(p,q))",5,TRUE
f:03-nw:200-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",16.38,"G(->(q,G(!(p))))",6,TRUE
f:05-nw:050-ml:14-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",14.62,"U(G(!(p)),F(&(p,F(q))))",9,TRUE
f:05-nw:025-ml:14-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",6.40,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:05-nw:010-ml:06-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",0.83,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:06-nw:010-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",0.88,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:06-nw:050-ml:14-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",32.91,"G(&(p,U(!(q),->(!(q),&(r,!(q))))))",13,TRUE
f:04-nw:100-ml:14-0.trace,tree-suf-bmc,F(p),F(?1),6.44,F(p),2,TRUE
f:09-nw:010-ml:10-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",1.48,"G(->(q,G(p)))",5,TRUE
f:03-nw:050-ml:06-0.trace,tree-suf,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",2.81,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:200-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",17.01,"G(->(q,G(p)))",4,TRUE
f:02-nw:050-ml:06-0.trace,tree-suf,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",3.70,"->(F(q),U(!(p),q))",6,TRUE
f:08-nw:010-ml:10-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",2.12,"->(F(q),U(p,q))",5,TRUE
f:05-nw:400-ml:14-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",372.02,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:07-nw:050-ml:14-0.trace,tree-suf,G(p),G(?1),2.06,G(p),2,TRUE
f:04-nw:010-ml:14-0.trace,tree-suf-bmc,F(p),?u1(p),0.42,F(p),2,TRUE
f:04-nw:400-ml:06-0.trace,tree-suf-bmc,F(p),?u1(p),16.90,F(p),2,TRUE
f:08-nw:200-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,U(p,q))",109.28,"->(F(q),U(p,q))",5,TRUE
f:06-nw:100-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",24.20,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:01-nw:100-ml:14-0.trace,tree-suf,G(!(p)),?u1(!(p)),10.06,G(!(p)),3,TRUE
f:07-nw:200-ml:10-0.trace,tree-suf,G(p),G(?1),9.81,G(p),2,TRUE
f:04-nw:100-ml:06-0.trace,tree-suf,F(p),?u1(p),1.47,F(p),2,TRUE
f:05-nw:100-ml:06-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",8.71,"|(G(q),F(&(p,F(q))))",7,TRUE
f:07-nw:400-ml:10-0.trace,tree-suf-bmc,G(p),G(?1),38.73,G(p),2,TRUE
f:05-nw:100-ml:06-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",7.66,"|(G(q),F(&(p,F(q))))",7,TRUE
f:06-nw:200-ml:10-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",88.38,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:05-nw:200-ml:14-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",177.93,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:03-nw:100-ml:10-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",49.04,"G(->(q,G(!(p))))",4,TRUE
f:02-nw:100-ml:10-0.trace,tree-suf,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",26.52,"->(F(q),&(!(p),q))",7,TRUE
f:04-nw:200-ml:14-0.trace,tree-suf,F(p),F(?1),25.81,F(p),2,TRUE
f:01-nw:200-ml:06-0.trace,tree-suf,G(!(p)),G(!(?1)),4.07,G(!(p)),3,TRUE
f:07-nw:025-ml:10-0.trace,tree-suf-bmc,G(p),G(?1),0.32,G(p),2,TRUE
f:07-nw:050-ml:10-0.trace,tree-suf-bmc,G(p),G(?1),0.76,G(p),2,TRUE
f:04-nw:050-ml:06-0.trace,tree-suf-bmc,F(p),?u1(p),0.58,F(p),2,TRUE
f:04-nw:025-ml:06-0.trace,tree-suf-bmc,F(p),?u1(p),0.31,F(p),2,TRUE
f:02-nw:200-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",109.12,"->(F(q),U(!(p),q))",7,TRUE
f:08-nw:010-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,U(p,q))",0.62,"->(F(q),U(p,q))",5,TRUE
f:08-nw:400-ml:14-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",371.45,"->(F(q),U(p,q))",5,TRUE
f:09-nw:100-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",31.76,"G(->(q,G(p)))",5,TRUE
f:08-nw:025-ml:06-0.trace,tree-suf,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",1.73,"->(F(q),&(p,q))",6,TRUE
f:07-nw:200-ml:10-0.trace,tree-suf-bmc,G(p),G(?1),9.20,G(p),2,TRUE
f:08-nw:400-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,U(p,q))",300.05,"->(F(q),U(p,q))",5,TRUE
f:02-nw:050-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",13.10,"->(F(q),&(!(p),q))",7,TRUE
f:02-nw:025-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",5.82,"->(F(q),&(!(p),q))",7,TRUE
